INFO 2024-12-28 13:37:03,420 autoreload Watching for file changes with StatReloader
DEBUG 2024-12-28 13:37:03,701 autoreload File D:\FoxMinded\task-12-create-basic-application\.venv\Lib\site-packages\PIL\_typing.py first seen with mtime 1730899116.973603
DEBUG 2024-12-28 13:37:03,701 autoreload File D:\FoxMinded\task-12-create-basic-application\.venv\Lib\site-packages\django\contrib\sites\requests.py first seen with mtime 1732379725.9013202
DEBUG 2024-12-28 13:37:03,702 autoreload File D:\FoxMinded\task-12-create-basic-application\.venv\Lib\site-packages\django\core\files\__init__.py first seen with mtime 1732379726.1783762
DEBUG 2024-12-28 13:37:03,702 autoreload File D:\FoxMinded\task-12-create-basic-application\.venv\Lib\site-packages\django\db\migrations\operations\fields.py first seen with mtime 1732379726.301295
DEBUG 2024-12-28 13:37:03,702 autoreload File D:\FoxMinded\task-12-create-basic-application\.venv\Lib\site-packages\django\utils\log.py first seen with mtime 1732379726.4718258
DEBUG 2024-12-28 13:37:03,702 autoreload File D:\FoxMinded\task-12-create-basic-application\.venv\Lib\site-packages\django\contrib\sessions\models.py first seen with mtime 1732379725.6872673
DEBUG 2024-12-28 13:37:03,702 autoreload File D:\FoxMinded\task-12-create-basic-application\.venv\Lib\site-packages\django\http\__init__.py first seen with mtime 1732379726.408817
DEBUG 2024-12-28 13:37:03,702 autoreload File D:\FoxMinded\task-12-create-basic-application\.venv\Lib\site-packages\django\utils\topological_sort.py first seen with mtime 1732379726.477825
DEBUG 2024-12-28 13:37:03,702 autoreload File D:\FoxMinded\task-12-create-basic-application\.venv\Lib\site-packages\django\template\loaders\cached.py first seen with mtime 1732379726.4368143
DEBUG 2024-12-28 13:37:03,703 autoreload File C:\Users\Oleg\AppData\Local\Programs\Python\Python312\Lib\base64.py first seen with mtime 1717692852.0
DEBUG 2024-12-28 13:37:03,703 autoreload File D:\FoxMinded\task-12-create-basic-application\.venv\Lib\site-packages\django\contrib\contenttypes\management\__init__.py first seen with mtime 1732379724.8003583
DEBUG 2024-12-28 13:37:03,703 autoreload File D:\FoxMinded\task-12-create-basic-application\.venv\Lib\site-packages\django\contrib\admin\views\__init__.py first seen with mtime 1732379724.2676122
DEBUG 2024-12-28 13:37:03,703 autoreload File D:\FoxMinded\task-12-create-basic-application\.venv\Lib\site-packages\django\db\backends\__init__.py first seen with mtime 1732379726.2397642
DEBUG 2024-12-28 13:37:03,703 autoreload File D:\FoxMinded\task-12-create-basic-application\.venv\Lib\site-packages\django\contrib\staticfiles\checks.py first seen with mtime 1732379726.135371
DEBUG 2024-12-28 13:37:03,703 autoreload File C:\Users\Oleg\AppData\Local\Programs\Python\Python312\Lib\concurrent\__init__.py first seen with mtime 1717692852.0
DEBUG 2024-12-28 13:37:03,703 autoreload File D:\FoxMinded\task-12-create-basic-application\.venv\Lib\site-packages\django\http\response.py first seen with mtime 1732379726.4128149
DEBUG 2024-12-28 13:37:03,703 autoreload File D:\FoxMinded\task-12-create-basic-application\.venv\Lib\site-packages\django\utils\tree.py first seen with mtime 1732379726.477825
DEBUG 2024-12-28 13:37:03,704 autoreload File D:\FoxMinded\task-12-create-basic-application\.venv\Lib\site-packages\django\core\serializers\__init__.py first seen with mtime 1732379726.229766
DEBUG 2024-12-28 13:37:03,704 autoreload File D:\FoxMinded\task-12-create-basic-application\.venv\Lib\site-packages\django\utils\deconstruct.py first seen with mtime 1732379726.4618175
DEBUG 2024-12-28 13:37:03,704 autoreload File D:\FoxMinded\task-12-create-basic-application\.venv\Lib\site-packages\django\core\management\base.py first seen with mtime 1732379726.2037668
DEBUG 2024-12-28 13:37:03,704 autoreload File D:\FoxMinded\task-12-create-basic-application\.venv\Lib\site-packages\django\contrib\auth\middleware.py first seen with mtime 1732379724.4242406
DEBUG 2024-12-28 13:37:03,704 autoreload File C:\Users\Oleg\AppData\Local\Programs\Python\Python312\Lib\asyncio\log.py first seen with mtime 1717692852.0
DEBUG 2024-12-28 13:37:03,704 autoreload File D:\FoxMinded\task-12-create-basic-application\.venv\Lib\site-packages\PIL\ExifTags.py first seen with mtime 1730899116.8987944
DEBUG 2024-12-28 13:37:03,704 autoreload File C:\Users\Oleg\AppData\Local\Programs\Python\Python312\DLLs\_ssl.pyd first seen with mtime 1717692902.0
DEBUG 2024-12-28 13:37:03,704 autoreload File C:\Users\Oleg\AppData\Local\Programs\Python\Python312\Lib\uuid.py first seen with mtime 1717692852.0
DEBUG 2024-12-28 13:37:03,705 autoreload File C:\Users\Oleg\AppData\Local\Programs\Python\Python312\Lib\sysconfig.py first seen with mtime 1717692852.0
DEBUG 2024-12-28 13:37:03,705 autoreload File C:\Users\Oleg\AppData\Local\Programs\Python\Python312\Lib\collections\abc.py first seen with mtime 1717692852.0
DEBUG 2024-12-28 13:37:03,705 autoreload File D:\FoxMinded\task-12-create-basic-application\.venv\Lib\site-packages\sqlparse\filters\reindent.py first seen with mtime 1730899116.6306007
DEBUG 2024-12-28 13:37:03,705 autoreload File D:\FoxMinded\task-12-create-basic-application\.venv\Lib\site-packages\django\db\models\query_utils.py first seen with mtime 1732379726.314297
DEBUG 2024-12-28 13:37:03,705 autoreload File D:\FoxMinded\task-12-create-basic-application\.venv\Lib\site-packages\PIL\_binary.py first seen with mtime 1730899116.9459443
DEBUG 2024-12-28 13:37:03,705 autoreload File D:\FoxMinded\task-12-create-basic-application\.venv\Lib\site-packages\django\views\decorators\common.py first seen with mtime 1732379726.4893355
DEBUG 2024-12-28 13:37:03,705 autoreload File D:\FoxMinded\task-12-create-basic-application\.venv\Lib\site-packages\django\core\checks\async_checks.py first seen with mtime 1732379726.1643717
DEBUG 2024-12-28 13:37:03,706 autoreload File D:\FoxMinded\task-12-create-basic-application\.venv\Lib\site-packages\django\urls\exceptions.py first seen with mtime 1732379726.4508135
DEBUG 2024-12-28 13:37:03,706 autoreload File D:\FoxMinded\task-12-create-basic-application\.venv\Lib\site-packages\bootstrap5\models.py first seen with mtime 1732379733.2218664
DEBUG 2024-12-28 13:37:03,706 autoreload File D:\FoxMinded\task-12-create-basic-application\.venv\Lib\site-packages\django\template\exceptions.py first seen with mtime 1732379726.425814
DEBUG 2024-12-28 13:37:03,706 autoreload File C:\Users\Oleg\AppData\Local\Programs\Python\Python312\Lib\ssl.py first seen with mtime 1717692852.0
DEBUG 2024-12-28 13:37:03,706 autoreload File D:\FoxMinded\task-12-create-basic-application\.venv\Lib\site-packages\django\core\handlers\wsgi.py first seen with mtime 1732379726.1937628
DEBUG 2024-12-28 13:37:03,706 autoreload File D:\FoxMinded\task-12-create-basic-application\.venv\Lib\site-packages\django\db\backends\base\__init__.py first seen with mtime 1732379726.2427638
DEBUG 2024-12-28 13:37:03,706 autoreload File D:\FoxMinded\task-12-create-basic-application\.venv\Lib\site-packages\django\utils\http.py first seen with mtime 1732379726.4688258
DEBUG 2024-12-28 13:37:03,706 autoreload File C:\Users\Oleg\AppData\Local\Programs\Python\Python312\Lib\logging\__init__.py first seen with mtime 1717692852.0
DEBUG 2024-12-28 13:37:03,707 autoreload File D:\FoxMinded\task-12-create-basic-application\.venv\Lib\site-packages\django\db\backends\base\introspection.py first seen with mtime 1732379726.247765
DEBUG 2024-12-28 13:37:03,707 autoreload File C:\Users\Oleg\AppData\Local\Programs\Python\Python312\Lib\mimetypes.py first seen with mtime 1717692852.0
DEBUG 2024-12-28 13:37:03,707 autoreload File D:\FoxMinded\task-12-create-basic-application\.venv\Lib\site-packages\django\db\migrations\utils.py first seen with mtime 1732379726.297297
DEBUG 2024-12-28 13:37:03,707 autoreload File D:\FoxMinded\task-12-create-basic-application\.venv\Lib\site-packages\django\contrib\admin\templatetags\__init__.py first seen with mtime 1732379724.2646148
DEBUG 2024-12-28 13:37:03,707 autoreload File D:\FoxMinded\task-12-create-basic-application\.venv\Lib\site-packages\bootstrap5\exceptions.py first seen with mtime 1732379733.2208662
DEBUG 2024-12-28 13:37:03,707 autoreload File D:\FoxMinded\task-12-create-basic-application\.venv\Lib\site-packages\django\utils\functional.py first seen with mtime 1732379726.466827
DEBUG 2024-12-28 13:37:03,707 autoreload File D:\FoxMinded\task-12-create-basic-application\.venv\Lib\site-packages\whitenoise\__init__.py first seen with mtime 1734701865.2759976
DEBUG 2024-12-28 13:37:03,707 autoreload File D:\FoxMinded\task-12-create-basic-application\.venv\Lib\site-packages\django\middleware\security.py first seen with mtime 1732379726.4178138
DEBUG 2024-12-28 13:37:03,707 autoreload File D:\FoxMinded\task-12-create-basic-application\.venv\Lib\site-packages\django\contrib\auth\checks.py first seen with mtime 1732379724.4212413
DEBUG 2024-12-28 13:37:03,707 autoreload File D:\FoxMinded\task-12-create-basic-application\.venv\Lib\site-packages\django\core\checks\caches.py first seen with mtime 1732379726.165368
DEBUG 2024-12-28 13:37:03,707 autoreload File D:\FoxMinded\task-12-create-basic-application\.venv\Lib\site-packages\sqlparse\filters\output.py first seen with mtime 1730899116.6306007
DEBUG 2024-12-28 13:37:03,707 autoreload File C:\Users\Oleg\AppData\Local\Programs\Python\Python312\Lib\logging\config.py first seen with mtime 1717692852.0
DEBUG 2024-12-28 13:37:03,708 autoreload File C:\Users\Oleg\AppData\Local\Programs\Python\Python312\Lib\nturl2path.py first seen with mtime 1717692852.0
DEBUG 2024-12-28 13:37:03,708 autoreload File C:\Users\Oleg\AppData\Local\Programs\Python\Python312\Lib\asyncio\base_tasks.py first seen with mtime 1717692852.0
DEBUG 2024-12-28 13:37:03,708 autoreload File D:\FoxMinded\task-12-create-basic-application\.venv\Lib\site-packages\django\template\__init__.py first seen with mtime 1732379726.418816
DEBUG 2024-12-28 13:37:03,708 autoreload File D:\FoxMinded\task-12-create-basic-application\.venv\Lib\site-packages\django\contrib\admin\checks.py first seen with mtime 1732379723.8513963
DEBUG 2024-12-28 13:37:03,708 autoreload File D:\FoxMinded\task-12-create-basic-application\.venv\Lib\site-packages\django\template\loaders\filesystem.py first seen with mtime 1732379726.4378133
DEBUG 2024-12-28 13:37:03,708 autoreload File C:\Users\Oleg\AppData\Local\Programs\Python\Python312\Lib\asyncio\windows_events.py first seen with mtime 1717692852.0
DEBUG 2024-12-28 13:37:03,708 autoreload File D:\FoxMinded\task-12-create-basic-application\.venv\Lib\site-packages\django\contrib\contenttypes\admin.py first seen with mtime 1732379724.6203096
DEBUG 2024-12-28 13:37:03,708 autoreload File D:\FoxMinded\task-12-create-basic-application\.venv\Lib\site-packages\psycopg\pq\abc.py first seen with mtime 1733931461.146526
DEBUG 2024-12-28 13:37:03,709 autoreload File D:\FoxMinded\task-12-create-basic-application\.venv\Lib\site-packages\bootstrap5\utils.py first seen with mtime 1732379733.228861
DEBUG 2024-12-28 13:37:03,709 autoreload File C:\Users\Oleg\AppData\Local\Programs\Python\Python312\Lib\re\__init__.py first seen with mtime 1717692852.0
DEBUG 2024-12-28 13:37:03,709 autoreload File C:\Users\Oleg\AppData\Local\Programs\Python\Python312\DLLs\_overlapped.pyd first seen with mtime 1717692902.0
DEBUG 2024-12-28 13:37:03,709 autoreload File D:\FoxMinded\task-12-create-basic-application\.venv\Lib\site-packages\bootstrap5\templatetags\bootstrap5.py first seen with mtime 1732379733.2278612
DEBUG 2024-12-28 13:37:03,709 autoreload File C:\Users\Oleg\AppData\Local\Programs\Python\Python312\Lib\email\_encoded_words.py first seen with mtime 1717692852.0
DEBUG 2024-12-28 13:37:03,709 autoreload File C:\Users\Oleg\AppData\Local\Programs\Python\Python312\Lib\html\__init__.py first seen with mtime 1717692852.0
DEBUG 2024-12-28 13:37:03,709 autoreload File C:\Users\Oleg\AppData\Local\Programs\Python\Python312\Lib\re\_parser.py first seen with mtime 1717692852.0
DEBUG 2024-12-28 13:37:03,709 autoreload File D:\FoxMinded\task-12-create-basic-application\.venv\Lib\site-packages\django\core\signals.py first seen with mtime 1732379726.1533682
DEBUG 2024-12-28 13:37:03,710 autoreload File D:\FoxMinded\task-12-create-basic-application\.venv\Lib\site-packages\django\template\defaulttags.py first seen with mtime 1732379726.4248147
DEBUG 2024-12-28 13:37:03,710 autoreload File C:\Users\Oleg\AppData\Local\Programs\Python\Python312\Lib\asyncio\__init__.py first seen with mtime 1717692852.0
DEBUG 2024-12-28 13:37:03,710 autoreload File C:\Users\Oleg\AppData\Local\Programs\Python\Python312\DLLs\_lzma.pyd first seen with mtime 1717692902.0
DEBUG 2024-12-28 13:37:03,710 autoreload File C:\Users\Oleg\AppData\Local\Programs\Python\Python312\Lib\concurrent\futures\__init__.py first seen with mtime 1717692852.0
DEBUG 2024-12-28 13:37:03,710 autoreload File D:\FoxMinded\task-12-create-basic-application\.venv\Lib\site-packages\django\db\models\__init__.py first seen with mtime 1732379726.3032916
DEBUG 2024-12-28 13:37:03,711 autoreload File D:\FoxMinded\task-12-create-basic-application\.venv\Lib\site-packages\django\contrib\auth\models.py first seen with mtime 1732379724.426241
DEBUG 2024-12-28 13:37:03,711 autoreload File D:\FoxMinded\task-12-create-basic-application\.venv\Lib\site-packages\django\contrib\admin\actions.py first seen with mtime 1732379723.8503983
DEBUG 2024-12-28 13:37:03,711 autoreload File D:\FoxMinded\task-12-create-basic-application\.venv\Lib\site-packages\django\urls\base.py first seen with mtime 1732379726.4488137
DEBUG 2024-12-28 13:37:03,711 autoreload File D:\FoxMinded\task-12-create-basic-application\.venv\Lib\site-packages\django\db\models\fields\mixins.py first seen with mtime 1732379726.3202932
DEBUG 2024-12-28 13:37:03,711 autoreload File D:\FoxMinded\task-12-create-basic-application\.venv\Lib\site-packages\django\contrib\messages\storage\base.py first seen with mtime 1732379725.3819494
DEBUG 2024-12-28 13:37:03,711 autoreload File D:\FoxMinded\task-12-create-basic-application\.venv\Lib\site-packages\django\conf\global_settings.py first seen with mtime 1732379723.5873618
DEBUG 2024-12-28 13:37:03,711 autoreload File D:\FoxMinded\task-12-create-basic-application\.venv\Lib\site-packages\django\forms\renderers.py first seen with mtime 1732379726.3442974
DEBUG 2024-12-28 13:37:03,712 autoreload File D:\FoxMinded\task-12-create-basic-application\.venv\Lib\site-packages\django\utils\connection.py first seen with mtime 1732379726.4568136
DEBUG 2024-12-28 13:37:03,712 autoreload File D:\FoxMinded\task-12-create-basic-application\.venv\Lib\site-packages\django\views\generic\base.py first seen with mtime 1732379726.494337
DEBUG 2024-12-28 13:37:03,712 autoreload File D:\FoxMinded\task-12-create-basic-application\.venv\Lib\site-packages\django\contrib\contenttypes\fields.py first seen with mtime 1732379724.6223083
DEBUG 2024-12-28 13:37:03,712 autoreload File D:\FoxMinded\task-12-create-basic-application\.venv\Lib\site-packages\django\middleware\cache.py first seen with mtime 1732379726.4138138
DEBUG 2024-12-28 13:37:03,712 autoreload File D:\FoxMinded\task-12-create-basic-application\.venv\Lib\site-packages\django\db\backends\signals.py first seen with mtime 1732379726.2407637
DEBUG 2024-12-28 13:37:03,712 autoreload File D:\FoxMinded\task-12-create-basic-application\.venv\Lib\site-packages\django\template\backends\django.py first seen with mtime 1732379726.432813
DEBUG 2024-12-28 13:37:03,712 autoreload File C:\Users\Oleg\AppData\Local\Programs\Python\Python312\DLLs\_decimal.pyd first seen with mtime 1717692902.0
DEBUG 2024-12-28 13:37:03,713 autoreload File D:\FoxMinded\task-12-create-basic-application\.venv\Lib\site-packages\django\contrib\staticfiles\apps.py first seen with mtime 1732379726.135371
DEBUG 2024-12-28 13:37:03,713 autoreload File D:\FoxMinded\task-12-create-basic-application\.venv\Lib\site-packages\django\core\handlers\base.py first seen with mtime 1732379726.1917636
DEBUG 2024-12-28 13:37:03,713 autoreload File D:\FoxMinded\task-12-create-basic-application\.venv\Lib\site-packages\django\views\generic\detail.py first seen with mtime 1732379726.4953365
DEBUG 2024-12-28 13:37:03,713 autoreload File D:\FoxMinded\task-12-create-basic-application\.venv\Lib\site-packages\sqlparse\filters\__init__.py first seen with mtime 1730899116.628596
DEBUG 2024-12-28 13:37:03,713 autoreload File D:\FoxMinded\task-12-create-basic-application\.venv\Lib\site-packages\django\contrib\admin\apps.py first seen with mtime 1732379723.8503983
DEBUG 2024-12-28 13:37:03,713 autoreload File D:\FoxMinded\task-12-create-basic-application\.venv\Lib\site-packages\django\contrib\admin\utils.py first seen with mtime 1732379723.8583977
DEBUG 2024-12-28 13:37:03,713 autoreload File C:\Users\Oleg\AppData\Local\Programs\Python\Python312\Lib\calendar.py first seen with mtime 1717692852.0
DEBUG 2024-12-28 13:37:03,713 autoreload File C:\Users\Oleg\AppData\Local\Programs\Python\Python312\Lib\importlib\metadata\_text.py first seen with mtime 1717692852.0
DEBUG 2024-12-28 13:37:03,714 autoreload File D:\FoxMinded\task-12-create-basic-application\.venv\Lib\site-packages\sqlparse\formatter.py first seen with mtime 1730899116.6216154
DEBUG 2024-12-28 13:37:03,714 autoreload File D:\FoxMinded\task-12-create-basic-application\.venv\Lib\site-packages\bootstrap5\templatetags\__init__.py first seen with mtime 1732379733.2268627
DEBUG 2024-12-28 13:37:03,714 autoreload File C:\Users\Oleg\AppData\Local\Programs\Python\Python312\Lib\importlib\metadata\__init__.py first seen with mtime 1717692852.0
DEBUG 2024-12-28 13:37:03,714 autoreload File D:\programs\PyCharm 2024.3.1\plugins\python-ce\helpers\pycharm_display\datalore\__init__.py first seen with mtime 1733930122.0
DEBUG 2024-12-28 13:37:03,714 autoreload File D:\FoxMinded\task-12-create-basic-application\.venv\Lib\site-packages\django\dispatch\__init__.py first seen with mtime 1732379726.3372943
DEBUG 2024-12-28 13:37:03,714 autoreload File C:\Users\Oleg\AppData\Local\Programs\Python\Python312\Lib\importlib\metadata\_collections.py first seen with mtime 1717692852.0
DEBUG 2024-12-28 13:37:03,714 autoreload File D:\FoxMinded\task-12-create-basic-application\.venv\Lib\site-packages\sqlparse\tokens.py first seen with mtime 1730899116.624596
DEBUG 2024-12-28 13:37:03,714 autoreload File C:\Users\Oleg\AppData\Local\Programs\Python\Python312\Lib\email\base64mime.py first seen with mtime 1717692852.0
DEBUG 2024-12-28 13:37:03,714 autoreload File D:\FoxMinded\task-12-create-basic-application\.venv\Lib\site-packages\django\contrib\admin\models.py first seen with mtime 1732379723.8553953
DEBUG 2024-12-28 13:37:03,715 autoreload File D:\FoxMinded\task-12-create-basic-application\.venv\Lib\site-packages\django\core\validators.py first seen with mtime 1732379726.154369
DEBUG 2024-12-28 13:37:03,715 autoreload File D:\FoxMinded\task-12-create-basic-application\.venv\Lib\site-packages\django\core\mail\message.py first seen with mtime 1732379726.195762
DEBUG 2024-12-28 13:37:03,715 autoreload File D:\FoxMinded\task-12-create-basic-application\.venv\Lib\site-packages\django\templatetags\l10n.py first seen with mtime 1732379726.4408123
DEBUG 2024-12-28 13:37:03,715 autoreload File C:\Users\Oleg\AppData\Local\Programs\Python\Python312\DLLs\_ctypes.pyd first seen with mtime 1717692902.0
DEBUG 2024-12-28 13:37:03,715 autoreload File D:\FoxMinded\task-12-create-basic-application\.venv\Lib\site-packages\django\contrib\sessions\__init__.py first seen with mtime 1732379725.6832652
DEBUG 2024-12-28 13:37:03,715 autoreload File D:\FoxMinded\task-12-create-basic-application\.venv\Lib\site-packages\django\contrib\sessions\middleware.py first seen with mtime 1732379725.6862655
DEBUG 2024-12-28 13:37:03,715 autoreload File D:\FoxMinded\task-12-create-basic-application\.venv\Lib\site-packages\django\contrib\auth\validators.py first seen with mtime 1732379724.4292443
DEBUG 2024-12-28 13:37:03,715 autoreload File C:\Users\Oleg\AppData\Local\Programs\Python\Python312\DLLs\_bz2.pyd first seen with mtime 1717692902.0
DEBUG 2024-12-28 13:37:03,716 autoreload File D:\FoxMinded\task-12-create-basic-application\.venv\Lib\site-packages\psycopg\errors.py first seen with mtime 1733931461.1325128
DEBUG 2024-12-28 13:37:03,716 autoreload File D:\FoxMinded\task-12-create-basic-application\.venv\Lib\site-packages\django\utils\timezone.py first seen with mtime 1732379726.4768252
DEBUG 2024-12-28 13:37:03,716 autoreload File C:\Users\Oleg\AppData\Local\Programs\Python\Python312\Lib\quopri.py first seen with mtime 1717692852.0
DEBUG 2024-12-28 13:37:03,716 autoreload File D:\FoxMinded\task-12-create-basic-application\.venv\Lib\site-packages\django\forms\widgets.py first seen with mtime 1732379726.3452961
DEBUG 2024-12-28 13:37:03,716 autoreload File C:\Users\Oleg\AppData\Local\Programs\Python\Python312\Lib\wsgiref\__init__.py first seen with mtime 1717692852.0
DEBUG 2024-12-28 13:37:03,716 autoreload File D:\FoxMinded\task-12-create-basic-application\.venv\Lib\site-packages\bootstrap5\__init__.py first seen with mtime 1732379733.2178676
DEBUG 2024-12-28 13:37:03,716 autoreload File D:\FoxMinded\task-12-create-basic-application\.venv\Lib\site-packages\django\contrib\staticfiles\management\__init__.py first seen with mtime 1732379726.1423688
DEBUG 2024-12-28 13:37:03,717 autoreload File D:\FoxMinded\task-12-create-basic-application\.venv\Lib\site-packages\PIL\ImageMode.py first seen with mtime 1730899116.9148307
DEBUG 2024-12-28 13:37:03,717 autoreload File C:\Users\Oleg\AppData\Local\Programs\Python\Python312\Lib\weakref.py first seen with mtime 1717692852.0
DEBUG 2024-12-28 13:37:03,717 autoreload File C:\Users\Oleg\AppData\Local\Programs\Python\Python312\Lib\urllib\parse.py first seen with mtime 1717692852.0
DEBUG 2024-12-28 13:37:03,717 autoreload File D:\FoxMinded\task-12-create-basic-application\.venv\Lib\site-packages\sqlparse\engine\grouping.py first seen with mtime 1730899116.6266057
DEBUG 2024-12-28 13:37:03,717 autoreload File D:\FoxMinded\task-12-create-basic-application\.venv\Lib\site-packages\asgiref\local.py first seen with mtime 1730899117.9324472
DEBUG 2024-12-28 13:37:03,717 autoreload File C:\Users\Oleg\AppData\Local\Programs\Python\Python312\Lib\asyncio\timeouts.py first seen with mtime 1717692852.0
DEBUG 2024-12-28 13:37:03,717 autoreload File D:\FoxMinded\task-12-create-basic-application\.venv\Lib\site-packages\django\core\files\storage\base.py first seen with mtime 1732379726.1867628
DEBUG 2024-12-28 13:37:03,717 autoreload File C:\Users\Oleg\AppData\Local\Programs\Python\Python312\Lib\hmac.py first seen with mtime 1717692852.0
DEBUG 2024-12-28 13:37:03,717 autoreload File D:\FoxMinded\task-12-create-basic-application\.venv\Lib\site-packages\django\core\files\storage\__init__.py first seen with mtime 1732379726.1857634
DEBUG 2024-12-28 13:37:03,718 autoreload File C:\Users\Oleg\AppData\Local\Programs\Python\Python312\Lib\signal.py first seen with mtime 1717692852.0
DEBUG 2024-12-28 13:37:03,718 autoreload File D:\FoxMinded\task-12-create-basic-application\.venv\Lib\site-packages\django\core\files\utils.py first seen with mtime 1732379726.1857634
DEBUG 2024-12-28 13:37:03,718 autoreload File C:\Users\Oleg\AppData\Local\Programs\Python\Python312\Lib\_compression.py first seen with mtime 1717692852.0
DEBUG 2024-12-28 13:37:03,718 autoreload File D:\FoxMinded\task-12-create-basic-application\.venv\Lib\site-packages\whitenoise\runserver_nostatic\management\__init__.py first seen with mtime 1734701865.2818806
DEBUG 2024-12-28 13:37:03,718 autoreload File D:\FoxMinded\task-12-create-basic-application\.venv\Lib\site-packages\django\conf\urls\__init__.py first seen with mtime 1732379723.846397
DEBUG 2024-12-28 13:37:03,718 autoreload File D:\FoxMinded\task-12-create-basic-application\.venv\Lib\site-packages\django\utils\dates.py first seen with mtime 1732379726.459813
DEBUG 2024-12-28 13:37:03,718 autoreload File D:\FoxMinded\task-12-create-basic-application\.venv\Lib\site-packages\django\views\generic\dates.py first seen with mtime 1732379726.494337
DEBUG 2024-12-28 13:37:03,719 autoreload File D:\FoxMinded\task-12-create-basic-application\.venv\Lib\site-packages\django\contrib\messages\api.py first seen with mtime 1732379725.3767197
DEBUG 2024-12-28 13:37:03,719 autoreload File D:\FoxMinded\task-12-create-basic-application\.venv\Lib\site-packages\django\conf\__init__.py first seen with mtime 1732379723.5863624
DEBUG 2024-12-28 13:37:03,719 autoreload File D:\FoxMinded\task-12-create-basic-application\.venv\Lib\site-packages\django\core\cache\backends\filebased.py first seen with mtime 1732379726.1603694
DEBUG 2024-12-28 13:37:03,719 autoreload File D:\FoxMinded\task-12-create-basic-application\.venv\Lib\site-packages\django\utils\translation\trans_real.py first seen with mtime 1732379726.4823349
